date,close,high,low,open
05/27/15.05.2015__00:00__AM,132.045,132.26,130.05,130.34
05/28/15.05.2015__00:00__AM,131.78,131.95,131.1,131.86
05/29/15.05.2015__00:00__AM,130.28,131.45,129.9,131.23
06/01/15.06.2015__00:00__AM,130.535,131.39,130.05,131.2
06/02/15.06.2015__00:00__AM,129.96,130.655,129.32,129.86
06/03/15.06.2015__00:00__AM,130.12,130.94,129.9,130.66
06/04/15.06.2015__00:00__AM,129.36,130.58,128.91,129.58
06/05/15.06.2015__00:00__AM,128.65,129.69,128.36,129.5
06/08/15.06.2015__00:00__AM,127.8,129.21,126.83,128.9
06/09/15.06.2015__00:00__AM,127.42,128.08,125.62,126.7
06/10/15.06.2015__00:00__AM,128.88,129.34,127.85,127.92
06/11/15.06.2015__00:00__AM,128.59,130.18,128.475,129.18
06/12/15.06.2015__00:00__AM,127.17,128.33,127.11,128.185
06/15/15.06.2015__00:00__AM,126.92,127.24,125.71,126.1
06/16/15.06.2015__00:00__AM,127.6,127.85,126.37,127.03
06/17/15.06.2015__00:00__AM,127.3,127.88,126.74,127.72
06/18/15.06.2015__00:00__AM,127.88,128.31,127.22,127.23
06/19/15.06.2015__00:00__AM,126.6,127.82,126.4,127.71
06/22/15.06.2015__00:00__AM,127.61,128.06,127.08,127.49
06/23/15.06.2015__00:00__AM,127.03,127.61,126.8792,127.48
06/24/15.06.2015__00:00__AM,128.11,129.8,127.12,127.21
06/25/15.06.2015__00:00__AM,127.5,129.2,127.5,128.86
06/26/15.06.2015__00:00__AM,126.75,127.99,126.51,127.67
06/29/15.06.2015__00:00__AM,124.53,126.47,124.48,125.46
06/30/15.06.2015__00:00__AM,125.425,126.12,124.86,125.57
07/01/15.07.2015__00:00__AM,126.6,126.94,125.99,126.9
07/02/15.07.2015__00:00__AM,126.44,126.69,125.77,126.43
07/06/15.07.2015__00:00__AM,126.0,126.23,124.85,124.94
07/07/15.07.2015__00:00__AM,125.69,126.15,123.77,125.89
07/08/15.07.2015__00:00__AM,122.57,124.64,122.54,124.48
07/09/15.07.2015__00:00__AM,120.07,124.06,119.22,123.85
07/10/15.07.2015__00:00__AM,123.28,123.85,121.21,121.94
07/13/15.07.2015__00:00__AM,125.66,125.755,124.32,125.03
07/14/15.07.2015__00:00__AM,125.61,126.37,125.04,126.04
07/15/15.07.2015__00:00__AM,126.82,127.15,125.58,125.72
07/16/15.07.2015__00:00__AM,128.51,128.57,127.35,127.74
07/17/15.07.2015__00:00__AM,129.62,129.62,128.31,129.08
07/20/15.07.2015__00:00__AM,132.07,132.97,130.7,130.97
07/21/15.07.2015__00:00__AM,130.75,132.92,130.32,132.85
07/22/15.07.2015__00:00__AM,125.22,125.5,121.99,121.99
07/23/15.07.2015__00:00__AM,125.16,127.09,125.06,126.2
07/24/15.07.2015__00:00__AM,124.5,125.74,123.9,125.32
07/27/15.07.2015__00:00__AM,122.77,123.61,122.12,123.09
07/28/15.07.2015__00:00__AM,123.38,123.91,122.55,123.38
07/29/15.07.2015__00:00__AM,122.99,123.5,122.27,123.15
07/30/15.07.2015__00:00__AM,122.37,122.5699,121.71,122.32
07/31/15.07.2015__00:00__AM,121.3,122.6425,120.91,122.6
08/03/15.08.2015__00:00__AM,118.44,122.57,117.52,121.5
08/04/15.08.2015__00:00__AM,114.64,117.7,113.25,117.42
08/05/15.08.2015__00:00__AM,115.4,117.44,112.1,112.95
08/06/15.08.2015__00:00__AM,115.13,116.5,114.115,115.97
08/07/15.08.2015__00:00__AM,115.52,116.25,114.5,114.58
08/10/15.08.2015__00:00__AM,119.72,119.99,116.53,116.53
08/11/15.08.2015__00:00__AM,113.49,118.18,113.33,117.81
08/12/15.08.2015__00:00__AM,115.24,115.42,109.63,112.53
08/13/15.08.2015__00:00__AM,115.15,116.4,114.54,116.04
08/14/15.08.2015__00:00__AM,115.96,116.31,114.01,114.32
08/17/15.08.2015__00:00__AM,117.16,117.65,115.5,116.04
08/18/15.08.2015__00:00__AM,116.5,117.44,116.01,116.43
08/19/15.08.2015__00:00__AM,115.01,116.52,114.68,116.1
08/20/15.08.2015__00:00__AM,112.65,114.35,111.63,114.08
08/21/15.08.2015__00:00__AM,105.76,111.9,105.645,110.43
08/24/15.08.2015__00:00__AM,103.12,108.8,92.0,94.87
08/25/15.08.2015__00:00__AM,103.74,111.11,103.5,111.11
08/26/15.08.2015__00:00__AM,109.69,109.89,105.05,107.085
08/27/15.08.2015__00:00__AM,112.92,113.24,110.02,112.25
08/28/15.08.2015__00:00__AM,113.29,113.31,111.54,112.17
08/31/15.08.2015__00:00__AM,112.76,114.53,112.0,112.13
09/01/15.09.2015__00:00__AM,107.72,111.88,107.36,110.18
09/02/15.09.2015__00:00__AM,112.34,112.34,109.131,110.0
09/03/15.09.2015__00:00__AM,110.37,112.78,110.04,112.49
09/04/15.09.2015__00:00__AM,109.27,110.45,108.51,108.97
09/08/15.09.2015__00:00__AM,112.31,112.56,110.32,111.65
09/09/15.09.2015__00:00__AM,110.15,114.02,109.77,113.76
09/10/15.09.2015__00:00__AM,112.57,113.2825,109.9,110.27
09/11/15.09.2015__00:00__AM,114.21,114.21,111.76,111.79
09/14/15.09.2015__00:00__AM,115.31,116.89,114.86,116.58
09/15/15.09.2015__00:00__AM,116.28,116.53,114.42,115.93
09/16/15.09.2015__00:00__AM,116.41,116.54,115.44,116.25
09/17/15.09.2015__00:00__AM,113.92,116.49,113.715,115.66
